Page,Question,Answer,question,generated_answer,evaluation,correct_answer
13,Who is covered under the insurance policy?,The policyholder and anyone else insured by this policy to drive your automated car with your permission.,Who is covered under the insurance policy?,"We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
If someone needs emergency medical treatment Included with: - TPFT - Essential - Comp - Comp+ Cover for other people Included with: - TPFT - Essential - Comp - Comp+ We’ll also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.
We’ll cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.",0.7999437820513021,The policyholder and anyone else insured by this policy to drive your automated car with your permission.
13,Where does the insurance coverage apply?,"Great Britain, which includes England, Scotland, and Wales.",Where does the insurance coverage apply?,"We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
If someone needs emergency medical treatment Included with: - TPFT - Essential - Comp - Comp+ Cover for other people Included with: - TPFT - Essential - Comp - Comp+ We’ll also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.
We’ll cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.",0.7022337650049889,"Great Britain, which includes England, Scotland, and Wales."
13,What is the insured person's responsibility regarding the car's software?,To keep the software up to date and not modify it other than in accordance with the manufacturer's instructions.,What is the insured person's responsibility regarding the car's software?,"- injures or kills any person (including the person in charge of your automated car), and/or - damages property.
As long as you look after your car’s software You must keep the software of your automated car up to date and you must not modify it other than in accordance with any manufacturer’s instruction. --- # Section 1: Liability continued You’re not covered under this sub-section for:",0.7937860584763152,To keep the software up to date and not modify it other than in accordance with the manufacturer's instructions.
14,"In what circumstances will the insurance policy not cover any loss, damage, or injury?","The insurance policy will not cover any loss, damage, or injury that takes place outside of Great Britain, is caused by the automated car driving itself at any time or place that the use of automated functions is unlawful, to the extent that an accident was caused or contributed to by any party suffering loss, damage, or injury, to an insured person if the accident is caused by a failure to install safety critical updates to the automated car or its software has been altered without the approval of the manufacturer, to the person in charge of the automated car where the accident was wholly due to that person's negligence in allowing the automated car to begin driving itself when it was not appropriate to do so, to property which an insured person owns or is responsible for, that's covered by another insurance policy, that's due to an act of terrorism as defined by the terrorism legislation applicable where the incident took place, to the automated car or trailer, or to goods carried for hire or reward.","In what circumstances will the insurance policy not cover any loss, damage, or injury?","Until we have the crime reference number, you may temporarily lose the No Claim Discount on this policy.
You’re not covered for - Our Vandalism Promise doesn’t cover damage caused by another vehicle. --- # Section 7: Motor Legal Cover About Motor Legal Cover We’ll cover your Costs if you need to take legal action or defend yourself in court.
We will only provide this cover if your claim has a reasonable chance of succeeding for the duration of the claim.
This cover is included with: Comprehensive Plus It’s an optional extra for: - Third Party, Fire and Theft - Essentials - Comprehensive Check your car insurance details to see if this cover is included.
Words with a specific meaning When we use these words or terms in this section they have these specific meanings (unless we say differently).
Abroad Anywhere outside of the territorial limits, restricted to the Republic of Ireland and countries listed in ‘Where you can drive’ on page 31.
Appointed representative",0.8831263121622683,"The insurance policy will not cover any loss, damage, or injury that takes place outside of Great Britain, is caused by the automated car driving itself at any time or place that the use of automated functions is unlawful, to the extent that an accident was caused or contributed to by any party suffering loss, damage, or injury, to an insured person if the accident is caused by a failure to install safety critical updates to the automated car or its software has been altered without the approval of the manufacturer, to the person in charge of the automated car where the accident was wholly due to that person's negligence in allowing the automated car to begin driving itself when it was not appropriate to do so, to property which an insured person owns or is responsible for, that's covered by another insurance policy, that's due to an act of terrorism as defined by the terrorism legislation applicable where the incident took place, to the automated car or trailer, or to goods carried for hire or reward."
14,What is covered under the fire and theft section of the insurance policy?,"The fire and theft section of the insurance policy covers the following: if the car is stolen, damaged as a result of theft or attempted theft, or damaged by fire, lightning, or an explosion.",What is covered under the fire and theft section of the insurance policy?,"We won’t cover legal costs or expenses. # Section 2: Fire and theft Fire and theft We’ll put things right if your car is stolen, damaged by an attempted theft, or damaged by fire.
If you’re on: - Third Party, Fire and Theft - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have. # Cover for your car Included with: | |TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is:| | | | | |Stolen.| | | | | |Damaged as a result of theft or attempted theft.| | | | | |Damaged by fire, lightning or an explosion.| | | | | We can choose to: - Repair – we’ll repair the damage ourselves, or pay to repair it. - Replace – we’ll replace whatever is lost or damaged if that’s more cost-effective than repairing. - Repay – we’ll settle your claim by sending a payment.",0.9048265531084164,"The fire and theft section of the insurance policy covers the following: if the car is stolen, damaged as a result of theft or attempted theft, or damaged by fire, lightning, or an explosion."
14,What are the options for the insurance company to settle a claim under the fire and theft section?,"The insurance company can choose to repair the damage, replace whatever is lost or damaged, or repay the claim by sending a payment.",What are the options for the insurance company to settle a claim under the fire and theft section?,"We won’t cover legal costs or expenses. # Section 2: Fire and theft Fire and theft We’ll put things right if your car is stolen, damaged by an attempted theft, or damaged by fire.
If you’re on: - Third Party, Fire and Theft - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have. # Cover for your car Included with: | |TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is:| | | | | |Stolen.| | | | | |Damaged as a result of theft or attempted theft.| | | | | |Damaged by fire, lightning or an explosion.| | | | | We can choose to: - Repair – we’ll repair the damage ourselves, or pay to repair it. - Replace – we’ll replace whatever is lost or damaged if that’s more cost-effective than repairing. - Repay – we’ll settle your claim by sending a payment.",0.8069964229520032,"The insurance company can choose to repair the damage, replace whatever is lost or damaged, or repay the claim by sending a payment."
15,What is covered in the event of fire or theft?,"In-car entertainment equipment permanently fitted in your car when it was made or after it was made, and removable electronic equipment.",What is covered in the event of fire or theft?,"We won’t cover legal costs or expenses. # Section 2: Fire and theft Fire and theft We’ll put things right if your car is stolen, damaged by an attempted theft, or damaged by fire.
If you’re on: - Third Party, Fire and Theft - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have. # Cover for your car Included with: | |TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is:| | | | | |Stolen.| | | | | |Damaged as a result of theft or attempted theft.| | | | | |Damaged by fire, lightning or an explosion.| | | | | We can choose to: - Repair – we’ll repair the damage ourselves, or pay to repair it. - Replace – we’ll replace whatever is lost or damaged if that’s more cost-effective than repairing. - Repay – we’ll settle your claim by sending a payment.",0.7644398332556993,"In-car entertainment equipment permanently fitted in your car when it was made or after it was made, and removable electronic equipment."
15,What is not covered in the event of fire or theft?,"Loss or damage to your car if it isn't kept secure, if someone takes it by fraud or deception, if removable electronic equipment or removable in-car entertainment is left inside a locked car where it could be seen, if any property is left in an open or convertible car outside of a locked boot or locked glove compartment, and loss or damage caused by theft or attempted theft of your car if any security device fitted to your car by the manufacturer is not operational when your car is left unattended.",What is not covered in the event of fire or theft?,"We won’t cover legal costs or expenses. # Section 2: Fire and theft Fire and theft We’ll put things right if your car is stolen, damaged by an attempted theft, or damaged by fire.
If you’re on: - Third Party, Fire and Theft - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have. # Cover for your car Included with: | |TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is:| | | | | |Stolen.| | | | | |Damaged as a result of theft or attempted theft.| | | | | |Damaged by fire, lightning or an explosion.| | | | | We can choose to: - Repair – we’ll repair the damage ourselves, or pay to repair it. - Replace – we’ll replace whatever is lost or damaged if that’s more cost-effective than repairing. - Repay – we’ll settle your claim by sending a payment.",0.81906070789671,"Loss or damage to your car if it isn't kept secure, if someone takes it by fraud or deception, if removable electronic equipment or removable in-car entertainment is left inside a locked car where it could be seen, if any property is left in an open or convertible car outside of a locked boot or locked glove compartment, and loss or damage caused by theft or attempted theft of your car if any security device fitted to your car by the manufacturer is not operational when your car is left unattended."
15,How much coverage is provided?,Up to the amounts shown in 'What your cover includes' on page 8.,How much coverage is provided?,"We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
If someone needs emergency medical treatment Included with: - TPFT - Essential - Comp - Comp+ Cover for other people Included with: - TPFT - Essential - Comp - Comp+ We’ll also cover any of the following people for their liability to others: - Anyone insured by this policy to drive your car, if they have the policyholder’s permission. - Anyone that the policyholder allows to use, but not drive, your car. - Anyone getting into or out of your car. - The legal representative of anyone covered if that person dies. - The employer or business partner of anyone covered while your car is being used for business purposes, if your certificate of motor insurance includes business use.
We’ll cover emergency medical treatment if it’s our responsibility under the Road Traffic Act.",0.7973706948769022,Up to the amounts shown in 'What your cover includes' on page 8.
16,What coverages include stolen car keys?,"Essentials, Comprehensive, and Comprehensive Plus.",What coverages include stolen car keys?,"Theft of car keys We’ll cover your stolen car keys.
Driving abroad While driving your car abroad, we’ll cover your car keys if they are stolen when: - You have Comprehensive cover and you’ve added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details). - You have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.
You’ll need to replace your car keys and send the receipts to us.
We’ll then reimburse the costs up to the amounts shown on page 8.
What we’ll do We’ll replace your stolen car keys and the locks they fit, including any locksmith charges.
You must take all reasonable steps to protect your car keys from theft.
If your keys are stolen, you’ll need to pay the theft excess.
You’ll need to report this theft to the police and provide us with the crime reference number.
Car security We’ll provide cover to reprogram immobilisers, infrared handsets, and alarms.",0.7052048028770106,"Essentials, Comprehensive, and Comprehensive Plus."
16,What steps must be taken to protect car keys from theft?,All reasonable steps must be taken to protect car keys from theft.,What steps must be taken to protect car keys from theft?,"Theft of car keys We’ll cover your stolen car keys.
Driving abroad While driving your car abroad, we’ll cover your car keys if they are stolen when: - You have Comprehensive cover and you’ve added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details). - You have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.
You’ll need to replace your car keys and send the receipts to us.
We’ll then reimburse the costs up to the amounts shown on page 8.
What we’ll do We’ll replace your stolen car keys and the locks they fit, including any locksmith charges.
You must take all reasonable steps to protect your car keys from theft.
If your keys are stolen, you’ll need to pay the theft excess.
You’ll need to report this theft to the police and provide us with the crime reference number.
Car security We’ll provide cover to reprogram immobilisers, infrared handsets, and alarms.",0.8215168300221818,All reasonable steps must be taken to protect car keys from theft.
16,What is required if car keys are stolen?,"The theft must be reported to the police, and a crime reference number must be provided.",What is required if car keys are stolen?,"Theft of car keys We’ll cover your stolen car keys.
Driving abroad While driving your car abroad, we’ll cover your car keys if they are stolen when: - You have Comprehensive cover and you’ve added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details). - You have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.
You’ll need to replace your car keys and send the receipts to us.
We’ll then reimburse the costs up to the amounts shown on page 8.
What we’ll do We’ll replace your stolen car keys and the locks they fit, including any locksmith charges.
You must take all reasonable steps to protect your car keys from theft.
If your keys are stolen, you’ll need to pay the theft excess.
You’ll need to report this theft to the police and provide us with the crime reference number.
Car security We’ll provide cover to reprogram immobilisers, infrared handsets, and alarms.",0.7875285531557286,"The theft must be reported to the police, and a crime reference number must be provided."
17,What type of car will the courtesy car be?,The courtesy car will be a small hatchback car with an engine size of up to 1000cc.,What type of car will the courtesy car be?,"Courtesy car A small hatchback car, or similar car, that an approved repairer supplies to you temporarily on our behalf.
Cyber event An unauthorised, malicious or criminal act that creates, or intends to create, an outcome that includes, but is not limited to: - Interruption to electronic communications. - Corruption, unauthorised access to, or theft of data. - Hacking or service denial.
Excess The amount that you may have to pay towards a claim.
Details of the excesses can be found in your car insurance details.
In-car entertainment Products designed to provide in-car entertainment that are either permanently fitted to your car, or removable.
But not any personal portable electronic or entertainment equipment that isn’t specifically designed to be used in your car (this may be covered under the Personal Belongings cover in Section 6 of this policy). --- # Glossary",0.8150281080952173,The courtesy car will be a small hatchback car with an engine size of up to 1000cc.
17,What is the excess if you claim under section 4 for accidental damage?,The excess if you claim under section 4 for accidental damage is £250.,What is the excess if you claim under section 4 for accidental damage?,"# Section 4: Accidental damage |Accidental damage to your car| |---| |Child car seat replacement|Unlimited| |In-car entertainment fitted in your car when it was made|Unlimited| |In-car entertainment fitted in your car after it was made|£1,000|£2,000| |Removable electronic equipment|£1,000|£2,000| |Misfuelling|Market value| |Lost or damaged car keys|£1,000| # Section 5: Windscreen damage |If you use an approved windscreen supplier|Market value| |---|---| |If you choose a different supplier for repairs|The amount shown in your car insurance details| |If you choose a different supplier for replacement|The amount shown in your car insurance details| # Section 6: Personal benefits |New car replacement|Market value| |---|---| |Personal belongings|£250|£500| |Personal accident|£5,000|£10,000| |Medical expenses|£200|£400| |Hotel expenses|£250|£300| |Uninsured Driver Promise|Included| |Vandalism Promise|Included| --- # What your cover includes continued",0.858139740500668,The excess if you claim under section 4 for accidental damage is £250.
17,Are you covered for a courtesy car if your car is written off or stolen and not recovered?,"No, you are not covered for a courtesy car if your car is written off or stolen and not recovered.",Are you covered for a courtesy car if your car is written off or stolen and not recovered?,"Car hire If you can’t drive your car because of stolen car keys and have our Guaranteed Hire Car Plus cover, we’ll extend this cover while you’re unable to use your car.
See ‘Section 8: Guaranteed Hire Car Plus’ on page 28.
Page 16 --- # Section 3: Courtesy car |Courtesy car|What we’ll do| |---|---| |The courtesy car will be a small hatchback, so may not be of a similar size or style to your car.|If you claim under section 2 or 4 of your policy and your car is being repaired by an approved repairer:| |This cover is included with:|Third Party, Fire and Theft| | |Essentials| | |Comprehensive| |If you haven’t picked Guaranteed Hire Car Plus.| | | |It’s not included with:| | |Comprehensive Plus because it’s replaced by Guaranteed Hire Car Plus.| See page 28 to find out more about Guaranteed Hire Car Plus Whilst you have your courtesy car:",0.8777315358227569,"No, you are not covered for a courtesy car if your car is written off or stolen and not recovered."
18,What are the options available if your car is accidentally damaged?,"Repair - the insurance company will repair the damage themselves or pay for it to be repaired.
Replace - the insurance company will replace whatever is lost or damaged, if that’s more cost-effective.
Repay - the insurance company will settle your claim by sending a payment.",What are the options available if your car is accidentally damaged?,"If you’re on: - Essentials - Comprehensive - Comprehensive Plus The cover in this section depends on the type of insurance you have.
This cover is not included with: - Third Party, Fire and Theft Accidental damage to your car Accidental damage to your car If your car is accidentally damaged, we can choose to eiper: - Repair – we’ll repair pe damage ourselves or pay to repair it. - Replace – we’ll replace whatever is lost or damaged, if pat’s more cost-effective. - Repay – we’ll settle your claim by sending a payment. ‘How it works’ on page 6 tells you how we manage repairs and replacements.
If your car is damaged, we’ll also replace any damaged removable electronic equipment, as long as we haven’t sent a payment to cover replacing your car.
Misfuelling (using the wrong fuel) - Included with: Comprehensive, Comprehensive Plus We’ll cover any damage to your car caused by misfuelling.
Child car seats - Included with: Essentials, Comprehensive, Comprehensive Plus",0.8501911322338417,"Repair - the insurance company will repair the damage themselves or pay for it to be repaired.
Replace - the insurance company will replace whatever is lost or damaged, if that’s more cost-effective.
Repay - the insurance company will settle your claim by sending a payment."
18,What is included in the cover for child car seats?,"If you have a child car seat fitted to your car and your car is involved in an accident, the insurance company will arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage. You may be required to provide proof of ownership as part of the claim.",What is included in the cover for child car seats?,"Misfuelling (using the wrong fuel) - Included with: Comprehensive, Comprehensive Plus We’ll cover any damage to your car caused by misfuelling.
Child car seats - Included with: Essentials, Comprehensive, Comprehensive Plus If you have a child car seat fitted to your car and your car is involved in an accident, we’ll arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage.
You may be required to provide proof of ownership as part of the claim.
In-car entertainment fitted in your car when it was made - Included with: Essentials, Comprehensive, Comprehensive Plus We won’t cover loss or damage caused by anyone who is convicted for driving while under the influence of drink or drugs at the time of the accident. --- # Section 4: Accidental damage Driving abroad",0.901871280337386,"If you have a child car seat fitted to your car and your car is involved in an accident, the insurance company will arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage.
You may be required to provide proof of ownership as part of the claim."
18,What is included in the cover for in-car entertainment fitted in your car when it was made?,"If your car is damaged, the insurance company will also replace any damaged in-car entertainment equipment that was permanently fitted in your car when it was made, as long as they haven’t sent a payment to cover replacing your car.",What is included in the cover for in-car entertainment fitted in your car when it was made?,"In-car entertainment fitted in your car when it was made |Included with:|TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car when it was made, as long as we haven’t sent a payment to cover replacing your car.| | | | | In-car entertainment fitted in your car after it was made |Included with:|TPFT|Comp|Comp+| |---|---|---|---| |If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car after it was made, as long as we haven’t sent a payment to cover replacing your car.| | | | Removable electronic equipment",0.8868466208027614,"If your car is damaged, the insurance company will also replace any damaged in-car entertainment equipment that was permanently fitted in your car when it was made, as long as they haven’t sent a payment to cover replacing your car."
18,What is included in the cover for in-car entertainment fitted in your car after it was made?,"If your car is damaged, the insurance company will also replace any damaged in-car entertainment equipment that was permanently fitted in your car after it was made, as long as they haven’t sent a payment to cover replacing your car.",What is included in the cover for in-car entertainment fitted in your car after it was made?,"In-car entertainment fitted in your car when it was made |Included with:|TPFT|Essential|Comp|Comp+| |---|---|---|---|---| |If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car when it was made, as long as we haven’t sent a payment to cover replacing your car.| | | | | In-car entertainment fitted in your car after it was made |Included with:|TPFT|Comp|Comp+| |---|---|---|---| |If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged or stolen in-car entertainment equipment that was permanently fitted in your car after it was made, as long as we haven’t sent a payment to cover replacing your car.| | | | Removable electronic equipment",0.8876830648387077,"If your car is damaged, the insurance company will also replace any damaged in-car entertainment equipment that was permanently fitted in your car after it was made, as long as they haven’t sent a payment to cover replacing your car."
18,What is included in the cover for removable electronic equipment?,"If your car is damaged, the insurance company will also replace any damaged removable electronic equipment, as long as they haven’t sent a payment to cover replacing your car.",What is included in the cover for removable electronic equipment?,"Removable electronic equipment |Included with:|TPFT|Comp|Comp+| |---|---|---|---| |If your car is damaged by fire or theft, or stolen and not recovered, we’ll also replace any damaged removable electronic equipment, as long as we haven’t sent a payment to cover replacing your car.| | | | How much am I covered for?
We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.
You’re not covered for",0.8941327389691824,"If your car is damaged, the insurance company will also replace any damaged removable electronic equipment, as long as they haven’t sent a payment to cover replacing your car."
18,What is included in the cover for misfuelling (using the wrong fuel)?,The insurance company will cover any damage to your car caused by misfuelling.,What is included in the cover for misfuelling (using the wrong fuel)?,"Misfuelling (using the wrong fuel) - Included with: Comprehensive, Comprehensive Plus We’ll cover any damage to your car caused by misfuelling.
Child car seats - Included with: Essentials, Comprehensive, Comprehensive Plus If you have a child car seat fitted to your car and your car is involved in an accident, we’ll arrange a replacement, or cover you for the cost of replacing the child car seat with a new one of a similar standard, even if there is no apparent damage.
You may be required to provide proof of ownership as part of the claim.
In-car entertainment fitted in your car when it was made - Included with: Essentials, Comprehensive, Comprehensive Plus We won’t cover loss or damage caused by anyone who is convicted for driving while under the influence of drink or drugs at the time of the accident. --- # Section 4: Accidental damage Driving abroad",0.8538293769803792,The insurance company will cover any damage to your car caused by misfuelling.
19,What is covered under the lost or damaged car keys policy?,"The policy covers the repair or replacement of lost or damaged car keys, including any locksmith charges.",What is covered under the lost or damaged car keys policy?,"- Included with: Essentials, Comprehensive, Comprehensive Plus We won’t cover loss or damage caused by anyone who is convicted for driving while under the influence of drink or drugs at the time of the accident. --- # Section 4: Accidental damage Driving abroad |Lost or damaged car keys| | |---|---| |We’ll cover your lost or damaged car keys.| | |This cover is included with:| | |Comprehensive| | |Comprehensive Plus| | |This cover is not included with:| | |Third Party, Fire and Theft| | |Essentials| | While driving your car abroad, we’ll cover your car keys if they are lost when: - You have Comprehensive cover and you’ve added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details). - You have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.
You’ll need to replace your car keys and send the receipts to us.
We’ll then reimburse the costs up to the amounts shown on page 8.",0.8341088475150494,"The policy covers the repair or replacement of lost or damaged car keys, including any locksmith charges."
19,What steps must the policyholder take to protect their car keys?,The policyholder must take all reasonable steps to protect their car keys from loss or damage.,What steps must the policyholder take to protect their car keys?,"Theft of car keys We’ll cover your stolen car keys.
Driving abroad While driving your car abroad, we’ll cover your car keys if they are stolen when: - You have Comprehensive cover and you’ve added Foreign Use Extension to your cover before you travel (this will be shown on your car insurance details). - You have Comprehensive Plus cover, where 90 days of Foreign Use Extension is included for each insured period.
You’ll need to replace your car keys and send the receipts to us.
We’ll then reimburse the costs up to the amounts shown on page 8.
What we’ll do We’ll replace your stolen car keys and the locks they fit, including any locksmith charges.
You must take all reasonable steps to protect your car keys from theft.
If your keys are stolen, you’ll need to pay the theft excess.
You’ll need to report this theft to the police and provide us with the crime reference number.
Car security We’ll provide cover to reprogram immobilisers, infrared handsets, and alarms.",0.8214875565539927,The policyholder must take all reasonable steps to protect their car keys from loss or damage.
19,What is not covered under the lost or damaged car keys policy?,"The policy does not cover any reduction in the car's market value due to lost keys or losses that are not directly due to the keys being lost or damaged, such as loss of use or earnings.",What is not covered under the lost or damaged car keys policy?,"You’re not covered for - We won’t cover loss or damage to your car if the person using it doesn’t take care to keep the car secure.
For example, if anyone who uses your car: - Left the car keys unattended in or on the car. - Left the car unattended and unlocked.
This includes leaving windows, roof panels or hoods open or unlocked. - We won’t cover loss or damage to your car if someone takes it by fraud or deception while pretending to be a buyer. - We won’t cover any loss or damage to property if anyone who uses your car: - Left any removable electronic equipment or removable in-car entertainment inside a locked car where it could be seen. - Left any property in an open or convertible car outside of a locked boot or locked glove compartment. - We won’t cover loss or damage caused by theft or attempted theft of your car if any security device fitted to your car by the manufacturer is not operational when your car is left unattended. --- # Section 2: Fire and theft continued",0.8674794936802567,"The policy does not cover any reduction in the car's market value due to lost keys or losses that are not directly due to the keys being lost or damaged, such as loss of use or earnings."
20,What is covered under windscreen damage?,"Accidental damage to the windscreen, sunroof, or windows of your car, as well as any scratching to the bodywork caused by the broken glass.",What is covered under windscreen damage?,"Car hire If you can’t drive your car because of lost or damaged car keys and have our Guaranteed Hire Car Plus cover, we’ll extend this cover while you’re unable to use your car.
See ‘Section 8: Guaranteed Hire Car Plus’ on page 28.
Page 19 --- # Section 5: Windscreen damage |Windscreen damage|How much am I covered for?| |---|---| |We’ll help put things right if the glass in your car is accidentally damaged.|We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.| This cover is included with: - Essentials - Comprehensive - Comprehensive Plus It’s not included with: - Third Party, Fire and Theft # What we’ll do",0.7998456757518093,"If you use an approved windscreen supplier, if you choose a different supplier for repairs, if you choose a different supplier for replacement."
20,What is covered under windscreen damage?,"Accidental damage to the windscreen, sunroof, or windows of your car, as well as any scratching to the bodywork caused by the broken glass.",What is covered under windscreen damage?,"Car hire If you can’t drive your car because of lost or damaged car keys and have our Guaranteed Hire Car Plus cover, we’ll extend this cover while you’re unable to use your car.
See ‘Section 8: Guaranteed Hire Car Plus’ on page 28.
Page 19 --- # Section 5: Windscreen damage |Windscreen damage|How much am I covered for?| |---|---| |We’ll help put things right if the glass in your car is accidentally damaged.|We’ll provide cover up to the amounts shown in ‘What your cover includes’ on page 8.| This cover is included with: - Essentials - Comprehensive - Comprehensive Plus It’s not included with: - Third Party, Fire and Theft # What we’ll do",0.8302309450646767,"Accidental damage to the windscreen, sunroof, or windows of your car, as well as any scratching to the bodywork caused by the broken glass."
20,How much am I covered for under windscreen damage?,Up to the amounts shown in ‘What your cover includes’ on page 8 of the policy.,How much am I covered for under windscreen damage?,"See page 28 to find out more about Guaranteed Hire Car Plus Whilst you have your courtesy car: - If your insurance cover is third party, fire and theft, we’ll also provide cover under sections 4 and 5 for the courtesy car.
If you claim under these sections, you’ll have to pay the first: - £250 if you claim under section 4 for accidental damage. - £115 if you claim under section 5 for windscreen replacement. - £25 if you claim for windscreen repair.
You’re not covered for: If your car is written off, or is stolen and not recovered, you won’t get a courtesy car. --- # Section 4: Accidental damage Damage to your car We’ll put pings right if your car is damaged.
If your car is damaged, we’ll also replace any damaged in-car entertainment equipment pat was permanently fitted in your car when it was made, as long as we haven’t sent a payment to cover replacing your car.
If you’re on: - Essentials - Comprehensive - Comprehensive Plus",0.7887870907844172,Up to the amounts shown in ‘What your cover includes’ on page 8 of the policy.
20,What is not covered under windscreen damage?,"Any other losses covered under another section of the policy for the same incident, such as dents to the bodywork, or damage caused by vandalism.",What is not covered under windscreen damage?,"You’re not covered for - We won’t cover loss or damage to your car if the person using it doesn’t take care to keep the car secure.
For example, if anyone who uses your car: - Left the car keys unattended in or on the car. - Left the car unattended and unlocked.
This includes leaving windows, roof panels or hoods open or unlocked. - We won’t cover loss or damage to your car if someone takes it by fraud or deception while pretending to be a buyer. - We won’t cover any loss or damage to property if anyone who uses your car: - Left any removable electronic equipment or removable in-car entertainment inside a locked car where it could be seen. - Left any property in an open or convertible car outside of a locked boot or locked glove compartment. - We won’t cover loss or damage caused by theft or attempted theft of your car if any security device fitted to your car by the manufacturer is not operational when your car is left unattended. --- # Section 2: Fire and theft continued",0.8060523169462139,"Any other losses covered under another section of the policy for the same incident, such as dents to the bodywork, or damage caused by vandalism."
21,What are the personal benefits included in your car insurance?,"The personal benefits included in your car insurance are: No Claim Discount protection, medical expenses cover, and personal accident cover.",What are the personal benefits included in your car insurance?,"If your claim is only for accidental damage to your car’s windscreen, sunroof or windows, you won’t lose the No Claim Discount on this policy.
You’ll need to pay an excess for each incident you claim for. --- # Section 6: Personal benefits # Personal benefits The additional cover you have as part of your car insurance. # Medical expenses Included with: Essential Comp Comp+ If your car is in an accident and people are injured, we’ll cover medical expenses if needed.
This is so long as no other car insurance policy covers the cost.
We’ll cover up to the amounts shown in ‘What your cover includes’ on page 8. # Personal accident Included with: Essential Comp Comp+ We’ll help if you or your partner are accidentally injured or killed in a car accident involving your car. # Uninsured Driver Promise Included with:",0.903959840249545,"The personal benefits included in your car insurance are: No Claim Discount protection, medical expenses cover, and personal accident cover."
21,What do you need to provide if you claim for an accident that isn't your fault and the driver of the vehicle that hits your car is uninsured?,"If you claim for an accident that isn't your fault and the driver of the vehicle that hits your car is uninsured, you'll need to provide the registration number, make and model of the vehicle that hit you, the driver's details (if possible), and the names and addresses of any independent witnesses (if available).",What do you need to provide if you claim for an accident that isn't your fault and the driver of the vehicle that hits your car is uninsured?,"# Personal accident Included with: Essential Comp Comp+ We’ll help if you or your partner are accidentally injured or killed in a car accident involving your car. # Uninsured Driver Promise Included with: Essential Comp Comp+ If you claim for an accident that isn’t your fault, and the driver of the vehicle that hits your car is uninsured, the No Claim Discount on this policy will not be affected and you will not need to pay an excess. # What we need from you If this happens, you’ll need to give us: - The registration number, make and model of the vehicle that hit you. - The driver’s details, if possible. - The names and addresses of any independent witnesses, if available.",0.8831865238411529,"If you claim for an accident that isn't your fault and the driver of the vehicle that hits your car is uninsured, you'll need to provide the registration number, make and model of the vehicle that hit you, the driver's details (if possible), and the names and addresses of any independent witnesses (if available)."
